Date,Open,High,Low,Close,Volume,Change
2016-07-07,131500,132500,130500,131000,351312,0.007692307692307665
2016-07-08,131000,133000,129000,130500,472095,-0.003816793893129722
2016-07-11,130500,132000,130500,131000,395952,0.003831417624521105
2016-07-12,131500,133000,131000,132000,401323,0.007633587786259444
2016-07-13,133000,135500,132500,135500,567236,0.026515151515151603
2016-07-14,134000,134500,131000,131500,688220,-0.029520295202952074
2016-07-15,132000,134000,132000,133000,608594,0.011406844106463865
2016-07-18,133000,134000,131000,132000,417748,-0.007518796992481258
2016-07-19,131500,132000,130000,130000,630163,-0.015151515151515138
2016-07-20,129500,131000,129000,129500,513880,-0.0038461538461538325
2016-07-21,130000,131000,128500,130000,459440,0.0038610038610038533
2016-07-22,130000,130500,129000,129000,364418,-0.007692307692307665
2016-07-25,129500,136000,129500,135500,1182857,0.050387596899224896
2016-07-26,135000,139500,134000,136000,1125762,0.0036900369003689537
2016-07-27,137000,137500,135000,137000,450182,0.007352941176470562
2016-07-28,137500,138000,135000,136000,451570,-0.007299270072992692
2016-07-29,135000,136000,132000,132000,698032,-0.02941176470588236
2016-08-01,132500,136000,132500,135500,510753,0.026515151515151603
2016-08-02,135500,135500,133000,134000,383193,-0.011070110701106972
2016-08-03,133000,134000,130500,132000,393748,-0.014925373134328401
2016-08-04,132500,133000,129500,130500,552854,-0.011363636363636354
2016-08-05,130500,133000,130500,133000,432472,0.019157088122605304
2016-08-08,134000,134000,132000,133000,367241,0.0
2016-08-09,135000,137000,134500,136500,590729,0.026315789473684292
2016-08-10,135500,137000,134000,134000,495316,-0.01831501831501836
2016-08-11,134000,135000,133500,134500,340296,0.003731343283582156
2016-08-12,135000,136000,134500,136000,441448,0.011152416356877248
2016-08-16,136000,137000,133000,133000,564040,-0.022058823529411797
2016-08-17,133500,135000,133000,135000,456621,0.015037593984962516
2016-08-18,134500,135000,132000,132500,501557,-0.01851851851851849
2016-08-19,133000,134000,132000,132500,375138,0.0
2016-08-22,132500,133000,131000,132000,400250,-0.0037735849056603765
2016-08-23,133000,134500,132000,132500,421660,0.0037878787878788955
2016-08-24,132000,135500,131500,135500,725511,0.02264150943396226
2016-08-25,136000,138000,134000,136500,880226,0.007380073800737907
2016-08-26,136500,137000,135000,135500,426273,-0.0073260073260073
2016-08-29,134000,134500,133000,134000,328229,-0.011070110701106972
2016-08-30,133500,135000,132500,132500,331306,-0.011194029850746245
2016-08-31,132000,133500,131000,133000,621524,0.0037735849056603765
2016-09-01,133000,133500,131500,131500,572941,-0.011278195488721776
2016-09-02,132500,136500,132000,135000,1129376,0.026615969581748944
2016-09-05,136000,139000,136000,139000,681920,0.029629629629629672
2016-09-06,138500,140000,138000,139500,455216,0.003597122302158251
2016-09-07,139500,140500,138000,139000,515978,-0.0035842293906810374
2016-09-08,139000,140000,136500,139000,604332,0.0
2016-09-09,138000,140000,137500,139500,430914,0.003597122302158251
2016-09-12,138500,139500,137500,138500,447847,-0.007168458781361964
2016-09-13,140000,140500,138000,138500,560421,0.0
2016-09-19,137000,139500,136000,137000,536712,-0.010830324909747335
2016-09-20,137000,139500,136500,138500,517081,0.010948905109489093
2016-09-21,137500,138500,136500,138000,464658,-0.0036101083032491488
2016-09-22,138000,139500,137500,138000,360424,0.0
2016-09-23,139500,142000,139000,142000,595938,0.02898550724637672
2016-09-26,140500,141500,139000,140500,444564,-0.010563380281690127
2016-09-27,140000,142000,138500,141500,451975,0.007117437722419906
2016-09-28,141000,141500,138000,138500,513300,-0.021201413427561877
2016-09-29,138500,139500,138000,139500,473726,0.0072202166064982976
2016-09-30,138500,139500,135000,135500,617732,-0.028673835125448077
2016-10-04,138500,141000,137500,139000,707562,0.02583025830258312
2016-10-05,137500,140500,136500,140000,549606,0.007194244604316502
2016-10-06,139000,140000,138500,139000,271808,-0.0071428571428571175
2016-10-07,138500,139000,135500,136500,449894,-0.017985611510791366
2016-10-10,134000,135000,131000,133500,687120,-0.02197802197802201
2016-10-11,135000,135500,133500,134500,355273,0.0074906367041198685
2016-10-12,134500,137000,133500,136500,418529,0.014869888475836479
2016-10-13,136500,137000,133500,134000,444173,-0.01831501831501836
2016-10-14,133500,135000,133000,133000,385561,-0.007462686567164201
2016-10-17,134500,136500,133000,133000,552827,0.0
2016-10-18,133500,135500,132500,134500,357363,0.011278195488721776
2016-10-19,134500,135500,132500,133000,474445,-0.01115241635687736
2016-10-20,133500,134000,131500,132000,411425,-0.007518796992481258
